system:index,GREEN,GREEN_1,GREEN_10,GREEN_11,GREEN_12,GREEN_13,GREEN_14,GREEN_15,GREEN_16,GREEN_17,GREEN_18,GREEN_19,GREEN_2,GREEN_20,GREEN_21,GREEN_22,GREEN_23,GREEN_24,GREEN_25,GREEN_26,GREEN_27,GREEN_28,GREEN_29,GREEN_3,GREEN_30,GREEN_31,GREEN_32,GREEN_4,GREEN_5,GREEN_6,GREEN_7,GREEN_8,GREEN_9,VALUE,.geo
000000000000000000aa_0,256.0,350.0,190.0,317.0,195.5,379.0,273.5,297.0,279.0,327.0,252.0,304.0,378.5,250.0,227.0,321.0,346.0,263.0,271.0,306.5,293.5,122.5,241.0,363.0,244.0,186.0,229.0,289.0,396.5,321.5,408.0,459.5,398.5,1.0,
000000000000000000ab_0,644.0,669.0,626.0,516.0,568.0,557.0,688.0,703.0,663.5,639.0,719.0,807.5,554.0,788.0,837.0,836.0,708.0,547.0,573.0,746.0,560.5,674.0,804.0,655.0,663.0,540.5,677.0,730.5,796.0,834.0,1514.5,796.0,761.5,1.0,
000000000000000000ac_0,527.0,638.0,690.0,780.0,684.0,616.0,648.0,746.0,896.0,831.5,849.0,745.0,768.5,706.5,712.0,747.5,899.0,633.0,707.0,824.0,780.5,925.0,675.5,618.5,651.0,593.0,755.5,578.0,811.5,910.0,898.5,713.5,672.0,1.0,
000000000000000000ad_0,568.0,684.5,810.0,750.5,725.0,689.5,594.0,682.0,869.0,689.0,749.0,658.0,607.0,761.0,692.0,682.0,751.5,661.0,655.0,604.0,651.0,578.0,504.5,684.0,572.0,527.0,608.0,725.0,998.0,1166.0,921.0,704.5,785.5,1.0,
000000000000000000ae_0,678.0,744.0,858.0,850.0,762.0,772.0,811.0,866.0,788.0,876.0,886.0,761.0,489.0,723.0,645.0,736.0,767.0,587.0,664.0,571.0,724.0,897.5,757.0,645.0,743.0,647.5,717.0,476.0,857.0,700.5,831.5,740.0,785.5,1.0,
000000000000000000af_0,1216.0,1214.0,1195.5,1129.0,1114.0,1284.5,1209.0,1343.5,1284.5,1409.0,1216.0,1225.0,1106.0,1199.0,1100.0,1135.0,1196.0,815.0,741.0,756.0,800.0,604.0,1077.5,1101.0,1148.0,944.0,930.0,1050.0,1146.0,853.0,1097.5,922.0,1153.0,1.0,
000000000000000000b1_0,648.0,701.0,604.0,592.5,623.5,541.0,721.0,686.5,648.0,572.0,533.5,716.0,600.0,715.0,765.0,856.0,738.0,527.0,614.5,740.5,570.5,630.0,785.0,688.0,693.5,566.0,681.0,619.0,763.0,719.0,721.0,663.5,640.0,1.0,
000000000000000000b2_0,627.0,608.0,776.0,884.5,797.0,821.0,795.0,730.0,749.0,776.0,726.0,730.0,556.0,679.0,713.0,755.0,770.0,731.0,680.0,751.0,729.5,645.0,643.0,579.0,644.5,665.0,648.0,557.0,850.5,911.5,930.0,929.0,836.5,1.0,
000000000000000000b3_0,823.0,783.0,860.0,758.0,794.0,956.5,754.0,864.0,834.5,719.0,784.0,794.0,722.5,764.0,848.0,894.0,770.5,585.0,699.5,894.5,792.0,855.5,861.0,651.0,787.0,707.0,777.0,620.5,643.0,638.0,893.0,537.0,708.0,1.0,
000000000000000000b4_0,848.0,1085.0,743.0,1080.0,912.0,790.5,847.5,867.0,933.0,980.0,1023.0,864.0,738.5,877.0,893.0,899.0,758.0,779.0,749.5,706.0,737.0,847.0,756.0,1154.0,753.0,731.0,725.0,952.0,746.0,918.0,1088.0,989.5,983.0,1.0,
000000000000000000b5_0,734.5,960.0,803.0,760.0,834.0,913.0,841.0,788.0,847.0,886.0,833.5,833.0,760.5,795.0,763.0,858.5,810.0,708.0,678.5,680.0,724.0,428.0,678.0,1017.0,621.5,648.0,674.0,853.0,1096.0,1045.5,1368.5,986.0,800.0,1.0,
000000000000000000b6_0,628.5,678.0,778.0,891.0,665.0,717.0,781.5,705.0,725.0,695.0,788.0,779.0,651.0,735.0,721.5,853.0,793.0,814.0,671.0,769.0,729.0,683.0,657.0,866.0,660.0,815.0,619.0,775.0,865.0,848.5,951.0,838.0,729.5,1.0,
000000000000000000b7_0,613.5,653.5,649.0,810.0,844.0,682.0,819.0,660.0,683.0,639.0,718.5,675.0,516.0,664.0,642.0,696.5,659.0,692.0,662.0,668.0,598.0,482.0,497.5,577.0,423.0,479.0,526.0,582.0,616.0,815.0,875.0,600.0,579.0,1.0,
000000000000000000b8_0,653.0,791.0,728.5,730.0,600.0,622.0,638.0,660.0,619.0,630.5,854.0,718.0,585.5,620.0,583.0,662.0,698.0,593.0,662.5,627.0,789.5,511.0,626.0,705.5,637.5,581.0,633.5,538.0,794.0,861.0,953.5,661.0,829.5,1.0,
000000000000000000b9_0,652.5,664.5,626.0,631.0,646.0,720.0,607.0,787.0,761.0,723.0,634.0,520.0,619.0,577.0,579.0,654.0,641.5,569.0,585.0,651.0,681.0,612.5,731.0,724.0,725.0,561.0,669.0,563.0,669.0,638.5,855.0,693.0,621.0,1.0,
000000000000000000ba_0,463.0,458.0,335.0,446.0,424.5,442.0,473.0,447.0,391.0,423.5,466.0,417.0,429.5,403.0,358.0,421.0,391.0,401.0,372.0,379.0,343.0,439.0,431.0,475.0,412.5,404.0,366.0,418.5,526.0,405.0,600.5,579.0,499.0,1.0,
000000000000000000bb_0,555.0,495.5,561.5,461.0,406.0,498.0,498.0,569.5,495.5,463.0,454.5,475.0,515.0,468.5,488.0,504.0,480.0,473.0,445.5,430.5,467.0,451.0,424.0,523.0,476.0,445.5,425.5,444.0,466.0,507.0,575.0,495.0,453.0,1.0,
000000000000000000bc_0,528.0,748.0,920.0,755.0,838.0,727.0,801.0,712.0,1027.0,895.0,873.0,784.5,654.0,842.0,796.0,936.0,770.0,688.0,625.0,802.0,698.5,875.0,796.0,657.0,656.0,820.0,833.0,660.0,756.5,761.0,927.0,874.0,788.5,1.0,
000000000000000000bd_0,557.5,602.0,775.0,887.0,896.5,959.5,860.5,867.5,816.0,849.0,905.5,880.0,574.5,767.5,657.5,758.0,654.5,650.5,649.5,540.5,627.5,565.0,599.5,565.0,598.0,574.5,590.0,546.5,611.0,602.0,1049.0,855.0,971.0,1.0,
000000000000000000be_0,489.0,464.0,632.0,780.0,686.0,822.0,734.5,788.5,708.0,688.0,784.0,789.0,483.0,735.0,733.0,712.0,719.5,655.0,699.0,606.5,638.5,653.0,608.5,544.0,674.0,601.5,581.5,480.5,709.0,520.0,873.0,879.0,797.5,1.0,
000000000000000000bf_0,528.0,646.5,746.0,718.5,905.0,770.0,692.0,670.0,1041.0,927.0,880.0,881.0,638.0,815.0,748.0,923.5,776.0,673.0,590.5,759.0,611.0,816.0,782.0,752.0,548.0,726.0,737.0,724.0,857.5,812.0,927.0,795.0,892.5,1.0,
000000000000000000c0_0,757.5,1527.0,699.0,647.0,731.5,734.0,783.5,754.0,776.5,873.0,875.0,919.0,871.0,780.0,775.5,921.0,737.0,729.0,751.0,826.0,794.0,917.0,814.0,885.0,727.0,790.0,791.0,818.5,842.0,724.5,858.0,758.5,675.0,1.0,
000000000000000000c1_0,463.5,504.0,490.5,578.0,557.5,659.0,713.0,633.0,625.0,640.0,608.0,625.0,547.0,598.0,581.5,655.0,622.0,582.0,527.0,576.0,619.0,500.0,495.5,653.5,550.5,563.0,597.0,532.0,582.0,639.0,771.5,745.0,727.0,1.0,
000000000000000000c2_0,732.0,637.5,755.0,739.0,736.0,736.0,690.0,746.5,742.0,670.0,821.0,752.0,533.5,735.0,676.0,706.0,599.0,493.0,629.0,642.0,518.0,568.0,539.5,741.5,641.0,579.0,691.0,723.0,585.0,686.0,878.0,664.5,887.0,1.0,
000000000000000000c3_0,619.0,772.5,638.0,633.0,549.0,542.0,538.0,565.5,656.0,604.0,730.5,594.0,618.0,598.0,659.0,660.5,624.5,561.0,595.5,657.5,602.0,386.0,431.0,752.0,582.0,519.0,541.5,713.0,751.0,703.0,962.0,804.0,700.5,1.0,
000000000000000000c4_0,785.0,727.0,653.0,659.0,779.5,680.0,635.5,653.0,678.0,647.0,518.0,558.0,601.0,482.0,558.0,651.0,611.0,585.0,616.0,666.0,712.0,694.0,820.0,746.0,663.0,525.0,708.5,689.5,755.0,785.0,800.0,825.0,673.0,1.0,
000000000000000000c5_0,652.5,687.0,607.0,619.0,690.5,596.5,603.0,596.0,613.5,512.5,448.0,436.0,590.0,437.0,535.0,592.5,535.0,545.0,593.0,668.0,628.0,534.0,716.0,620.0,629.0,601.0,634.0,595.0,791.0,800.0,776.0,692.5,643.0,1.0,
000000000000000000c6_0,641.5,725.0,628.0,646.0,791.5,596.5,609.0,596.0,634.0,530.5,433.0,406.5,546.0,441.5,549.0,695.0,587.0,505.0,591.0,664.0,637.0,563.5,714.0,683.0,595.0,595.0,620.5,642.0,828.0,800.0,776.0,757.0,673.0,1.0,
000000000000000000c7_0,680.0,654.5,687.0,609.0,659.5,464.5,507.0,490.5,435.0,399.5,502.0,463.0,636.5,423.5,402.5,433.5,377.0,374.0,396.0,358.0,281.0,488.5,305.0,709.0,236.0,232.0,220.0,650.0,756.0,719.0,762.0,797.0,641.5,1.0,
000000000000000000c8_0,927.5,802.5,640.5,624.0,551.5,777.0,952.0,867.5,924.0,804.0,800.0,813.0,854.5,909.0,924.0,921.0,820.0,814.0,812.5,839.0,762.0,890.0,767.5,710.0,747.0,760.0,696.0,657.0,809.0,737.0,760.0,685.0,623.0,1.0,
000000000000000000c9_0,465.0,527.0,419.0,558.0,481.0,628.0,683.0,776.0,743.0,743.5,771.0,730.0,489.0,666.5,701.5,787.5,688.0,646.5,603.5,603.0,625.5,616.0,578.5,670.0,579.0,613.5,525.0,564.0,696.0,729.5,644.0,562.0,546.5,1.0,
000000000000000000ca_0,689.5,670.5,768.0,772.0,601.0,625.0,673.0,811.0,735.0,601.0,709.0,772.0,692.0,733.0,801.0,822.5,764.0,720.0,903.0,826.5,772.5,843.0,729.5,731.5,824.0,796.0,818.0,806.5,647.0,654.0,1009.0,739.0,827.5,1.0,
000000000000000000cb_0,586.0,636.0,727.0,728.5,713.0,788.5,942.0,835.0,1037.0,831.0,801.0,830.5,651.0,832.0,928.5,1068.0,973.0,808.0,770.0,772.0,761.0,933.0,820.5,648.5,844.0,881.0,816.0,599.0,640.5,596.0,683.0,658.5,593.5,1.0,
000000000000000000cc_0,595.0,630.0,517.0,622.0,520.0,585.0,670.5,584.0,559.0,590.0,543.0,492.0,737.5,533.0,568.0,704.0,672.0,601.0,445.5,335.0,344.0,285.5,282.5,833.0,384.0,373.5,643.5,662.0,613.0,589.5,782.0,657.0,812.0,1.0,
000000000000000000cd_0,557.0,616.0,509.5,599.0,554.0,571.0,559.0,591.0,597.5,625.0,611.0,594.0,626.0,575.0,509.0,539.0,572.5,509.5,438.5,537.0,468.0,542.0,543.0,588.0,562.5,579.0,547.0,515.0,562.5,621.0,776.0,678.0,584.0,1.0,
000000000000000000ce_0,867.5,766.0,645.0,737.0,685.5,868.0,716.0,853.0,808.5,768.0,846.0,983.5,865.5,882.0,746.0,796.0,802.0,808.0,706.5,671.0,702.0,697.5,734.0,900.5,743.5,662.0,813.0,843.0,820.0,796.0,919.0,837.0,633.0,1.0,
000000000000000000cf_0,692.0,712.0,633.0,711.0,550.0,714.0,684.5,798.0,865.0,837.0,872.0,718.5,651.0,629.0,555.0,752.0,696.0,580.0,668.0,716.5,789.0,785.0,799.0,740.0,848.0,733.0,814.0,669.0,726.0,822.0,1010.0,602.5,654.5,1.0,
000000000000000000d0_0,704.0,723.5,772.0,892.0,866.0,866.0,955.5,893.0,877.5,894.0,929.0,950.5,987.5,873.0,812.0,1010.0,871.5,975.0,897.0,863.0,804.0,772.0,634.0,837.0,489.0,486.0,512.0,803.5,1103.0,1084.0,1318.0,999.0,887.5,1.0,
000000000000000000d1_0,431.5,643.0,634.0,708.0,949.0,715.0,885.0,761.0,721.0,721.5,900.0,801.0,640.0,652.5,658.0,832.0,774.0,677.5,576.0,708.5,730.0,810.0,905.0,743.0,710.0,746.0,774.0,651.5,959.0,711.0,1127.0,856.5,943.5,1.0,
000000000000000000d2_0,716.0,769.0,692.0,717.0,714.0,789.0,736.5,593.0,561.0,587.0,514.0,500.0,697.5,457.0,329.0,379.0,645.5,403.0,365.0,408.5,249.0,235.0,255.0,608.0,290.0,263.5,332.0,531.0,672.0,539.5,763.0,721.0,654.0,1.0,
000000000000000000d3_0,353.0,482.5,240.0,401.5,435.0,432.0,457.0,450.0,474.0,464.0,454.5,449.0,439.0,357.0,382.0,458.5,517.0,394.0,384.0,474.0,360.0,284.0,388.5,601.0,411.0,305.0,348.0,384.5,464.0,441.0,621.0,579.0,531.0,1.0,
000000000000000000d4_0,485.0,527.5,442.0,465.0,439.0,490.0,469.0,474.0,424.0,430.0,461.0,440.0,462.5,456.5,421.5,516.0,468.0,463.0,559.0,599.5,600.0,783.0,679.0,489.5,710.0,650.0,634.0,494.0,512.0,443.0,676.0,561.5,479.0,1.0,
000000000000000000d5_0,461.0,470.5,748.0,1004.0,735.0,575.5,994.0,590.0,551.5,750.0,620.0,790.0,536.0,885.0,759.5,405.0,831.0,759.0,775.0,828.0,276.0,367.0,262.0,680.0,269.0,310.0,270.0,652.0,458.5,580.5,646.0,564.0,521.5,1.0,
000000000000000000d6_0,734.0,866.0,568.0,733.0,684.0,739.0,713.0,690.0,791.0,865.5,753.0,704.0,712.5,665.0,634.5,820.0,757.5,668.0,636.0,663.0,617.0,645.0,710.5,712.0,742.0,658.0,736.0,668.0,722.0,546.0,813.0,872.0,663.0,1.0,
000000000000000000d7_0,467.5,604.0,425.0,639.5,625.0,631.0,720.5,582.0,571.0,586.5,746.0,712.0,581.0,587.5,562.0,714.5,659.0,611.0,589.5,626.5,575.0,745.0,732.0,635.0,611.0,607.5,648.0,490.0,787.0,693.5,1005.0,724.0,746.0,1.0,
000000000000000000d8_0,734.0,803.0,659.0,728.0,684.0,766.5,729.0,703.0,754.5,758.0,684.0,767.0,683.5,649.5,619.0,730.0,775.0,647.0,618.0,658.0,691.0,696.0,773.5,738.0,728.0,670.0,837.0,609.0,677.0,767.0,846.0,915.0,643.5,1.0,
000000000000000000d9_0,346.0,607.0,631.0,1053.0,690.0,558.5,1095.0,618.5,664.0,838.5,753.0,910.0,493.0,947.0,783.0,697.5,936.5,1013.0,938.0,978.0,304.0,342.0,382.0,682.0,321.0,330.0,438.0,694.0,461.0,610.0,699.0,770.0,555.5,1.0,
000000000000000000da_0,660.5,758.0,690.0,779.5,643.0,748.0,655.0,710.0,702.5,693.5,708.0,766.5,713.5,665.5,700.5,767.0,735.0,688.0,782.0,771.0,865.0,706.0,727.0,708.0,739.0,686.0,743.5,612.0,761.5,720.0,1037.0,817.0,876.5,1.0,
000000000000000000db_0,609.0,762.0,711.5,781.0,875.0,835.0,747.0,835.0,774.0,780.5,869.5,860.5,709.0,774.0,766.5,925.0,754.5,689.0,721.5,805.5,751.0,814.0,862.0,745.5,819.0,795.0,869.0,687.5,794.0,766.0,1118.0,917.0,900.0,1.0,
000000000000000000dc_0,663.5,810.5,707.0,633.0,605.0,645.0,583.5,654.0,676.0,686.0,787.0,858.5,688.0,728.0,775.0,916.0,715.0,735.0,758.5,754.0,925.0,892.0,804.5,853.0,680.0,822.0,801.0,736.0,907.0,762.0,815.0,772.0,911.0,1.0,
000000000000000000dd_0,885.0,1003.0,755.5,867.0,839.0,845.0,904.0,1105.0,824.0,884.0,934.5,905.0,707.5,801.0,781.0,891.0,1179.5,939.0,850.0,1142.0,1072.5,778.0,904.0,776.0,1084.0,751.0,945.5,610.0,841.5,761.0,998.0,934.0,1170.0,1.0,
000000000000000000de_0,516.0,574.0,628.0,992.0,734.0,574.0,1106.5,596.5,659.0,860.0,769.0,899.0,456.0,914.0,846.5,707.0,937.0,1011.0,947.0,964.0,358.0,441.0,394.0,855.0,328.0,420.0,473.5,654.0,459.0,598.5,652.0,769.0,546.5,1.0,
000000000000000000df_0,352.0,743.5,697.0,802.0,923.0,784.0,889.0,849.0,812.5,849.0,872.0,808.0,614.0,744.0,766.0,814.0,765.5,761.0,682.0,689.5,725.5,650.0,712.0,788.5,644.0,711.0,705.0,777.0,782.0,807.0,809.5,804.0,779.0,1.0,
000000000000000000e0_0,638.0,613.0,552.0,936.5,735.0,543.0,1030.5,597.0,645.0,850.5,770.0,862.0,660.0,925.5,769.5,666.0,946.0,925.0,910.0,959.0,298.0,433.0,330.0,680.0,270.0,349.0,311.0,653.0,490.5,652.0,643.0,605.0,564.0,1.0,
000000000000000000e1_0,467.0,575.5,551.0,1006.5,734.0,600.0,1001.0,605.5,640.5,837.5,750.0,863.0,532.0,858.0,738.0,636.0,972.0,979.0,926.0,979.5,316.0,497.0,407.0,684.0,313.0,362.5,272.5,761.5,469.0,625.5,679.0,573.5,542.0,1.0,
000000000000000000e2_0,569.5,476.0,552.0,974.0,735.0,507.0,1047.0,597.0,617.5,896.0,734.0,892.5,604.0,899.0,790.0,666.0,932.0,943.0,885.5,987.5,307.0,462.0,334.0,641.0,275.0,360.0,317.0,653.0,451.0,634.5,643.0,584.5,564.0,1.0,
000000000000000000e3_0,465.0,531.0,389.0,536.0,557.0,614.0,710.0,895.0,862.0,754.5,887.0,812.0,490.5,831.0,839.0,898.0,842.0,824.0,764.0,752.0,778.5,740.5,765.0,493.5,776.5,758.0,705.5,563.5,545.0,471.0,662.5,555.5,518.0,1.0,
000000000000000000e4_0,663.0,726.0,701.0,717.0,789.0,684.0,613.0,949.5,763.0,679.0,884.0,712.0,735.0,687.0,778.0,795.0,736.0,680.0,785.5,965.0,948.0,896.0,950.0,755.0,797.5,794.5,967.0,696.0,865.0,714.5,932.0,969.5,710.0,1.0,
000000000000000000e5_0,654.0,730.0,569.5,671.0,633.0,610.0,679.0,584.0,593.5,757.0,717.0,821.5,602.5,852.0,695.0,629.0,890.0,938.0,857.5,935.0,391.5,401.0,455.0,642.0,322.0,390.0,258.0,634.0,654.0,704.0,842.0,754.0,607.5,1.0,
000000000000000000e6_0,875.0,790.0,724.0,742.5,678.0,790.5,775.0,758.0,718.0,769.0,783.0,776.5,777.0,791.0,902.5,974.5,901.5,775.5,684.0,654.0,643.0,350.0,327.0,957.5,320.0,380.0,357.0,803.0,845.5,870.5,913.0,862.0,796.0,1.0,
000000000000000000e7_0,544.0,569.5,714.0,861.0,790.5,738.0,772.0,740.0,818.0,726.0,795.0,763.0,549.5,723.0,652.5,763.0,731.5,651.0,637.5,692.0,651.0,676.0,704.0,504.0,641.0,610.0,685.5,849.0,897.0,798.0,973.0,960.0,898.5,1.0,
000000000000000000ea_0,314.0,498.0,273.0,513.0,464.5,515.0,495.0,452.0,440.5,511.0,487.0,565.0,424.5,374.0,371.0,537.5,465.0,393.0,451.0,543.5,428.0,466.0,544.0,564.0,540.0,476.0,473.0,517.0,737.0,489.5,728.0,641.0,684.0,1.0,
000000000000000000eb_0,478.0,460.0,627.5,1011.0,737.0,612.0,1073.0,634.5,666.0,891.0,714.0,851.5,504.0,901.0,759.5,714.0,960.0,1010.0,929.5,956.0,437.0,402.0,530.0,681.5,440.0,456.5,474.0,655.0,459.5,690.0,651.0,713.5,555.0,1.0,
000000000000000000ec_0,625.0,802.0,646.0,714.0,675.0,691.0,721.5,615.5,607.0,676.0,633.0,780.0,705.0,763.0,765.0,738.0,946.0,991.0,911.0,919.0,455.0,472.0,499.5,752.0,384.0,493.0,358.0,653.0,557.0,718.0,762.0,745.0,679.5,1.0,
000000000000000000ed_0,420.0,468.0,291.0,400.0,318.0,411.0,454.0,395.0,421.5,545.5,481.0,557.0,478.0,509.0,519.0,553.0,573.0,522.0,481.0,525.0,514.0,504.0,547.0,507.0,524.0,457.0,458.0,404.0,506.0,514.0,536.0,521.0,395.0,1.0,
000000000000000000ee_0,576.5,633.0,773.0,697.0,675.0,712.0,663.0,756.5,753.0,789.5,780.5,844.0,765.0,872.0,757.0,738.0,732.5,499.0,750.0,777.0,746.0,704.0,643.5,866.5,612.0,542.5,613.5,866.5,686.0,764.0,1081.0,939.5,794.0,1.0,
000000000000000000ef_0,593.5,795.5,573.0,1008.0,796.0,636.5,1103.5,660.0,694.0,944.5,778.0,937.0,580.5,899.0,839.0,696.0,960.0,1033.0,996.0,985.0,430.0,543.0,534.0,898.0,424.0,489.5,484.0,734.0,448.0,678.0,684.0,629.0,573.5,1.0,
000000000000000000f0_0,634.0,528.0,459.0,481.0,432.0,479.0,458.0,473.0,565.5,677.0,541.0,649.0,601.5,666.5,683.5,704.5,666.0,627.0,669.0,603.0,638.0,611.0,626.0,514.5,568.0,613.0,603.0,494.0,493.0,603.5,569.0,489.0,460.0,1.0,
000000000000000000f1_0,527.0,662.5,643.0,788.0,668.0,730.0,906.5,634.0,563.0,842.0,719.5,870.0,571.0,854.0,720.0,627.0,852.0,895.0,865.5,890.0,397.0,351.0,528.5,748.5,395.0,477.5,523.0,614.0,555.0,701.5,723.0,747.0,667.0,1.0,
000000000000000000f2_0,355.0,399.0,269.5,360.0,318.0,419.0,445.0,378.0,443.5,513.0,408.0,487.0,365.0,442.0,414.0,523.0,497.5,463.0,465.5,476.0,420.0,428.0,520.0,429.5,448.0,396.5,402.5,332.0,445.0,489.5,548.0,489.0,358.0,1.0,
000000000000000000f3_0,725.5,730.5,651.0,972.5,796.0,837.0,1134.5,687.0,733.0,931.0,784.5,961.0,635.0,908.0,839.0,682.5,959.0,1007.0,976.0,965.0,347.0,371.0,338.0,843.0,363.0,408.5,462.0,694.0,487.0,734.0,725.0,958.0,693.0,1.0,
000000000000000000f4_0,674.5,803.5,752.0,977.0,737.0,777.0,1110.0,681.5,703.0,946.5,832.0,962.5,571.0,937.5,887.0,779.0,974.0,997.0,991.0,975.0,420.0,459.0,591.0,897.5,476.0,518.0,547.0,695.0,452.0,719.0,726.0,543.0,563.5,1.0,
000000000000000000f5_0,810.5,836.0,757.0,809.5,667.0,819.0,1032.0,689.5,506.0,549.0,568.0,424.5,648.5,531.0,355.5,470.0,608.0,396.5,556.0,476.5,273.0,439.5,310.0,607.0,300.0,236.5,222.0,606.0,461.5,474.0,697.0,663.0,713.0,1.0,
000000000000000000f6_0,442.0,509.0,575.5,943.0,739.0,536.0,1053.0,611.0,664.0,834.0,696.5,862.5,279.0,869.0,784.5,654.5,1010.0,1006.0,923.5,943.0,452.0,457.0,563.0,700.0,465.0,522.0,485.5,588.0,500.5,610.0,728.0,496.0,567.0,1.0,
000000000000000000f7_0,640.0,655.0,896.0,715.0,718.0,819.5,657.0,845.5,839.0,810.0,848.0,816.0,626.5,809.0,782.0,827.0,716.0,624.0,705.0,735.0,751.0,809.0,753.0,875.5,722.5,611.0,640.0,878.5,832.0,996.5,1080.0,1007.0,805.0,1.0,
000000000000000000f8_0,685.0,823.0,695.0,941.0,717.0,777.0,1110.0,680.0,669.0,928.0,824.5,943.0,571.0,916.0,887.0,767.5,939.0,1045.0,963.0,969.0,459.5,463.0,585.0,897.5,466.0,513.0,541.0,668.0,453.0,761.0,726.0,626.0,541.0,1.0,
000000000000000000f9_0,907.5,811.0,674.5,766.0,677.0,860.0,1072.0,685.5,606.0,653.5,579.5,613.0,606.0,728.0,741.5,605.0,797.0,551.0,686.0,707.0,288.5,324.0,524.5,634.5,470.0,279.0,341.0,606.0,639.0,556.0,636.5,879.0,773.5,1.0,
000000000000000000fa_0,833.5,863.0,665.0,716.5,707.0,764.0,968.0,648.5,556.5,552.5,479.5,530.5,606.0,681.5,789.0,724.0,729.0,501.0,547.0,522.0,249.0,478.0,393.0,656.0,342.0,328.0,257.5,573.0,739.5,488.0,664.0,707.0,719.0,1.0,
000000000000000000fb_0,589.0,757.0,564.0,1014.0,758.0,716.5,1110.0,664.0,665.0,922.0,813.0,943.0,571.0,984.0,874.0,718.5,958.0,981.0,928.5,968.5,461.0,482.0,601.0,897.5,419.0,501.5,525.0,696.0,420.0,746.0,688.0,588.0,562.0,1.0,
000000000000000000fc_0,733.0,686.5,634.0,976.0,860.0,933.0,1156.0,660.0,727.0,912.0,786.0,911.0,586.5,888.5,881.0,744.0,933.0,1001.5,965.0,988.0,433.0,377.0,531.0,820.5,500.0,540.5,599.0,696.0,433.0,720.0,727.0,753.0,752.5,1.0,
000000000000000000fd_0,524.5,522.0,727.0,783.5,807.0,892.0,725.0,649.0,603.0,605.0,548.5,602.0,552.0,569.0,561.0,579.5,569.0,553.0,530.0,526.5,507.0,478.5,483.5,526.0,502.0,483.0,443.5,458.0,550.0,779.5,1152.0,920.0,822.0,1.0,
000000000000000000fe_0,603.5,688.5,833.0,789.0,612.0,700.0,677.0,839.0,893.0,737.5,886.0,766.0,649.0,730.5,993.0,912.5,772.0,750.0,865.0,845.0,878.0,865.0,901.0,590.0,908.0,856.0,1149.0,549.0,663.0,549.0,932.0,811.0,690.0,1.0,
000000000000000000ff_0,795.0,858.0,1231.0,1011.0,951.0,876.5,846.0,917.5,909.0,670.5,964.0,789.0,843.0,797.0,1052.0,970.0,885.5,716.5,775.5,961.0,831.5,767.0,1104.0,832.0,1059.0,1231.0,1381.0,723.5,829.0,774.5,932.0,972.0,957.0,1.0,
00000000000000000100_0,729.5,811.5,717.0,1035.5,921.0,1032.5,1117.0,701.0,801.5,928.0,834.0,963.0,706.0,945.0,917.0,807.5,959.5,1034.0,973.0,977.0,379.0,404.0,636.0,767.5,515.0,524.0,608.0,656.0,675.0,677.0,725.0,984.0,819.0,1.0,
